"","date","patch_name","stand_type","trap_name","x_quercus","x_pinus","stand_area_ha","mass_g","moth_count","muck_mass","other_species_in_lab","field_notes","lab_notes"
"124","29/07/2024","Rigaud","Oak/Pine","RigOP3.3",0.4,0.2,9.4,0.2639,6,NA,0,"trap torn on one side, may have lost some moths (taped up)",NA
"125","29/07/2024","Rigaud","Pine","RigPine2.1",0.1,0.6,8.3,1.0678,12,NA,0,NA,NA
"126","29/07/2024","Rigaud","Pine","RigPine2.2",0.1,0.6,8.3,0.2437,3,NA,0,NA,NA
"127","29/07/2024","Rigaud","Pine","RigPine2.3",0.1,0.6,8.3,1.7554,19,NA,0,NA,NA
"128","29/07/2024","Rigaud","Pine","RigPine3.1",0,0.7,3.6,2.0149,25,NA,0,NA,NA
"129","29/07/2024","Rigaud","Pine","RigPine3.2",0,0.7,3.6,0.5344,7,NA,0,NA,NA
"130","30/07/2024","Rigaud","Oak/Pine","RigOP4.1",0.3,0.2,5.3,0.3639,11,NA,4,"a lot of muck, only able to collect a few moths pieces ","11 somewhat intact moths + 4 wings = 11 because no other bodies/heads. Also a couple of flies and other tiny insect body parts"
"131","30/07/2024","Rigaud","Oak/Pine","RigOP4.2",0.3,0.2,5.3,2.3154,35,NA,20,"3 beetles but moths intact","many tiny little flies "
"132","30/07/2024","Rigaud","Oak","RigOak1.1",0.7,0.1,8.4,1.9312,25,NA,5,NA,"tiny little flies"
"133","30/07/2024","Rigaud","Oak","RigOak1.2",0.7,0.1,8.4,2.6175,33,NA,0,NA,NA
"134","30/07/2024","Rigaud","Oak","RigOak1.3",0.7,0.1,8.4,1.4477,17,NA,0,NA,NA
"135","30/07/2024","Rigaud","Oak","RigOak1.4",0.7,0.1,8.4,2.1446,30,NA,0,NA,NA
"136","30/07/2024","Rigaud","Oak","RigOak1.5",0.7,0.1,8.4,6.4402,82,NA,0,NA,NA
"137","30/07/2024","Rigaud","Pine","RigPine4.1",0.2,0.5,3.5,4.1022,51,NA,0,"1 unidentified moth",NA
"138","30/07/2024","Rigaud","Pine","RigPine5.1",0.1,0.5,6.4,4.0068,55,NA,0,NA,NA
"139","30/07/2024","Rigaud","Oak/Pine","RigOP5.1",0.3,0.2,7.6,5.0103,67,NA,0,NA,NA
"140","30/07/2024","Rigaud","MOM","RigMOM",0.2,0,7.3,NA,76,NA,0,NA,NA
"141","01/08/2024","Mont Saint Hilaire","MOM","MSH2MOM2",0.1,0,4.8,NA,6,NA,0,"little decomposition",NA
"142","01/08/2024","Mont Saint Hilaire","MOM","MSH2MOM",0.1,0,4.8,NA,6,NA,0,"little decomposition",NA
"143","01/08/2024","Mont Saint Hilaire","MOM","MSHMOM",0.1,0,4.8,NA,19,NA,0,"some decomposition ",NA
"144","01/08/2024","Mont Saint Hilaire","Oak","MSH2Oak1.1",0.3,0.2,7.6,0.2354,3,NA,0,"little decomposition",NA
"145","01/08/2024","Mont Saint Hilaire","Oak","MSH2Oak1.2",0.3,0.2,7.6,0.9479,13,NA,0,"little decomposition",NA
"146","01/08/2024","Mont Saint Hilaire","Oak","MSH2Oak1.3",0.3,0.2,7.6,0.2519,4,NA,0,"few moths ",NA
"147","01/08/2024","Mont Saint Hilaire","Oak","MSH2Oak1.4",0.3,0.2,7.6,2.5012,32,NA,0,"2 tussoch moths",NA
"148","01/08/2024","Mont Saint Hilaire","Oak","MSHOak1.1",0.6,0,8.5,0.1414,2,NA,0,"little decomposition",NA
"149","01/08/2024","Mont Saint Hilaire","Oak","MSHOak1.2",0.6,0,8.5,2.9702,31,NA,0,"little decomposition",NA
"150","01/08/2024","Mont Saint Hilaire","Oak","MSHOak1.3",0.6,0,8.5,3.3886,36,NA,0,"some decomposition ",NA
"151","01/08/2024","Mont Saint Hilaire","Oak","MSHOak1.4",0.6,0,8.5,NA,NA,NA,NA,"Trap bottom slightly opened, not moths in or around the trap, taped up",NA
"152","01/08/2024","Mont Saint Hilaire","Pine","MSHPine1.1",0,0.7,3.8,6.5669,108,NA,0,"lots of moths, little decomposition",NA
"153","05/08/2024","Mont Royal","Oak/Pine","MROP1.1",0.4,0.1,8.9,3.1754,55,NA,0,NA,NA
"154","05/08/2024","Mont Royal","Oak/Pine","MROP1.2",0.4,0.1,8.9,1.0114,20,NA,0,NA,NA
"155","05/08/2024","Mont Royal","Oak/Pine","MROP1.3",0.4,0.1,8.9,0.7044,13,NA,0,NA,NA
"156","05/08/2024","Mont Royal","Oak/Pine","MROP1.4",0.4,0.1,8.9,0.8113,16,NA,0,NA,NA
"157","05/08/2024","Mont Royal","Oak","MROak2.1",0.8,0,6.4,0.797,15,NA,0,NA,NA
"158","05/08/2024","Mont Royal","Oak","MROak1.1",0.6,0,8.6,0.5771,7,NA,0,NA,NA
"159","05/08/2024","Mont Royal","Oak","MROak1.2",0.6,0,8.6,0.9821,20,NA,0,NA,NA
"160","05/08/2024","Mont Royal","Oak","MROak1.3",0.6,0,8.6,0.3457,6,NA,0,NA,NA
"161","05/08/2024","Mont Royal","Pine","MRPine1.1",0.4,0,14,1.09,24,NA,0,NA,NA
"162","05/08/2024","Mont Royal","MOM","MRMOM",0.4,0,14,NA,93,NA,0,NA,NA
"163","05/08/2024","Mont Royal","Oak","MROak3.1",0.4,0,11.7,4.9294,95,NA,0,NA,NA
"164","05/08/2024","Mont Royal","Oak","MROak3.2",0.4,0,11.7,2.6527,49,NA,0,NA,NA
"165","05/08/2024","Mont Royal","Oak","MROak3.3",0.4,0,11.7,NA,NA,NA,NA,"Trap missing, seems to have been removed",NA
"166","15/08/2024","Orford","Pine","MO2Pine2.1",0,0.8,6.8,1.742,42,NA,0,NA,"all intact, wings disregarded"
"167","15/08/2024","Orford","Pine","MO2Pine2.2",0,0.8,6.8,2.3519,53,NA,1,NA,"1 small beetle, wings disregarded"
"168","15/08/2024","Orford","Pine","MO2Pine1.1",0,0.7,3.7,0.8648,21,NA,0,NA,"all intact, wings disregarded "
"169","15/08/2024","Orford","Pine","MO2Pine1.2",0,0.7,3.7,1.0668,27,NA,0,NA,"all intact, no wings "
"170","15/08/2024","Orford","Oak","MO2Oak1.1",0.4,0.2,8.1,5.947,141,NA,0,"Mostly in-tact moths, some beetle, some decomp","mostly intact moths, disregarded wings since moths were intact, bodies were added to total moths "
"171","15/08/2024","Orford","Oak","MO2Oak 1.2",0.4,0.2,8.1,5.592,131,NA,3,"4 non-spongy moths moths, mostly intact, some decomp","3 small flies, 131 intact moths, added the moth bodies (bodies with heads) to total number, wings disregarded"
"172","15/08/2024","Orford","Oak","MO2Oak1.3",0.4,0.2,8.1,2.4693,52,25,8,"intact moths + more advanced stage of decomp ","many smal flies and 1 beetle, mostly in-tact moths + bodies + heads = total, wings disregarded"
"173","15/08/2024","Orford","Pine","MO2Pine3.1",0,0.5,4.3,3.894,85,NA,2,"1 non spongy moth, some fungus on the moths","a few small flies, wings disregarded since moths are intact "
"174","15/08/2024","Orford","Pine","MO2Pine3.2",0,0.5,4.3,3.1737,73,NA,0,NA,"moths intact, disregarded wings "
"175","15/08/2024","Orford","MOM","MO2MOM",0,0,4.6,2.6637,69,17.25,7,"some intact moths, many beetles, relatively advanced stage of decomp ","lots of decomposition, very difficult to count wings so the number is not accurate, wings were disregarded, total moth = body + heads + moth count "
"176","15/08/2024","Orford","Pine","MO2Pine4.1",0,0.6,7.5,4.2801,105,NA,3,NA,"1 fly, 1 spider, 1 earwig"
"177","15/08/2024","Orford","Pine","MO2Pine4.2",0,0.6,7.5,4.3327,103,NA,3,NA,"1 non-spongy moth, 2 earwigs, 1 fly"
"178","16/08/2024","Orford","MOM","MOMOM",0,0.2,5.9,10.416,254,24,9,"moth in medium level of decomp, powdery but not moldy","decomposition made counting wings hard, total count = body + heads + moths + 1 live moth that flew away, wings disregarded"
"179","16/08/2024","Orford","Oak","MOOak1.1",0.5,0,7.1,19.761,378,NA,2,"1 beetle","1 fly, 1 beetle"
"180","16/08/2024","Orford","Oak","MOOak1.2",0.5,0,7.1,6.1547,139,NA,2,"1 live moth flew away (ADDED TO TOTAL)","1 beetle, 1 stink bug,"
"181","16/08/2024","Orford","Oak","MOOak1.3",0.5,0,7.1,14.318,263,NA,2,"several beetles but all moths intact ","2 flies"
"182","16/08/2024","Orford","Oak","MOOak2.1",0.8,0,7.8,5.1015,144,19.5,6,"moths in medium level of decomp","6 tiny flies, lots of decomp, wings hard to count and disregarded, total count = body + heads + moths"
"183","16/08/2024","Orford","Oak","MOOak2.2",0.8,0,7.8,4.5178,91,NA,2,NA,"moths intact, 2 flies"
"184","16/08/2024","Orford","Oak","MOOak2.3",0.8,0,7.8,5.0056,108,NA,0,"1 moth flew away (ADDED TO TOTAL)","moths intact, wing disregarded, total moths = moth count + 1 live moth"
"185","16/08/2024","Orford","Oak","MOOak3.1",0.5,0,11.8,7.0338,142,NA,2,"some beetles, moths mostly intact, some decomp","total moths = count + bodies, wings disregarded, 2 beetles"
"186","16/08/2024","Orford","Oak","MOOak3.2",0.5,0,11.8,4.681,93,NA,2,"a few beetles, dropped 1 moth (ADDED TO TOTAL)","2 large flies, total moths = count + dropped moth, wings disregarded"
"187","16/08/2024","Orford","Oak","MOOak3.3",0.5,0,11.8,1.5711,37,NA,0,"few beetles ","intact moths "
"188","16/08/2024","Orford","Pine","MOPine1.1",0,0.5,5.1,3.1984,86,NA,0,NA,"16 tiny flies, moths intact"
"189","16/08/2024","Orford","Pine","MOPine1.2",0,0.5,5.1,4.7583,114,NA,4,NA,"1 harvestmen, 3 flies"
"190","16/08/2024","Orford","Pine","MOPine2.1",0,0.7,8.3,2.677,78,NA,2,"one beetle ","2 tiny flies, wings disregarded"
"191","16/08/2024","Orford","Pine","MOPine2.2",0,0.7,8.3,2.3127,53,NA,2,NA,"2 tiny flies, wings disregarded"
"192","16/08/2024","Orford","Pine","MOPine2.3",0,0.7,8.3,2.549,65,NA,5,NA,"5 tiny flies"
"193","20/08/2024","Oka","Oak","OkaOak1.1",0.4,0.1,8.1,7.1054,161,NA,4,"2 american dagger moths in trap","1 spider, 3 flies, total moths = moth count + bodies , wings ignored"
"194","20/08/2024","Oka","Oak","OkaOak1.2",0.4,0.1,8.1,3.7078,91,NA,9,NA,"9 other species (1 spider, 7 flies, 1 mosquito), total moths = moth count + body/head (i ripped this one in half by accident), wings ignored"
"195","20/08/2024","Oka","Oak","OkaOak1.3",0.4,0.1,8.1,3.5431,52,NA,0,"flies and a few beetles, trap was very wet ","moths were still sort of damp, weight probably higher than it should be, whole intact moths. Maybe compare with other bags with similar #s?"
"196","20/08/2024","Oka","Oak","OkaOak1.4",0.4,0.1,8.1,2.4113,41,NA,4,"a few beetles ","1 harvestmen, 1 moth, 2 flies, total moths = moth count + head"
"197","20/08/2024","Oka","Oak","OkaOak1.5",0.4,0.1,8.1,0.9733,7,6.75,6,"several beetles, very wet ","6 species (4 flies, 2 small beetles), extremely decomposed, bits of wings, bits of heads, clumps of matter that is impossible to decipher"
"198","20/08/2024","Oka","Oak","OkaOak1.6",0.4,0.1,8.1,3.7155,59,NA,5,NA,"5 species (3 flies, 1 harvestmen, 1 ant, 1 spider?), total moths = moth count + body"
"199","20/08/2024","Oka","Pine","OkaPine1.1",0.3,0.5,14.2,8.6922,93,41.5,15,"lots of beetles, heavy decomp ","species (mix of flies, beetles, winged insects) decomposition made counting wings impossible, total moths = moth count + heads + body "
"200","20/08/2024","Oka","Pine","OkaPine1.2",0.3,0.5,14.2,2.6415,61,NA,1,NA,"1 fly, moths in good state"
"201","20/08/2024","Oka","Pine","OkaPine1.3",0.3,0.5,14.2,3.3347,38,32,16,"lots of beetles, heavy decomp, 2 HEAD DROPPED","wings uncountable, species ( mostly flies, 1 beetle, 1 stink bug), total moths = moth count + bodies + head + 2 heads that fell"
"202","20/08/2024","Oka","Pine","OkaPine1.4",0.3,0.5,14.2,2.0052,51,NA,0,NA,"moths were in good state "
"203","20/08/2024","Oka","Pine","OkaPine1.5",0.3,0.5,14.2,1.9145,43,NA,0,"catepillars ","moths were in good state "
"204","20/08/2024","Oka","Pine","OkaPine1.6",0.3,0.5,14.2,1.8471,39,NA,0,"some beetles ","total moths = moth count + bodies + head, wings ignored "
"205","20/08/2024","Oka","Pine","OkaPine1.7",0.3,0.5,14.2,1.3836,24,NA,0,"flies and stink bug","wings ignored, total moths = moth count + body "
"206","20/08/2024","Oka","Oak/Pine","OkaOP2.1",0.3,0.2,8,3.2715,63,NA,1,"caterpillars ","moths intact, wings ignored, 1 fly"
"207","20/08/2024","Oka","Oak/Pine","OkaOP2.2",0.4,0.2,8,1.337,0,41,0,"tons of beetles, full of muck",NA
