patch_name,stand_type,landscape_type,stand_category,Percent_Oak,Percent_Pine,stand_area_ha,trap_name,longitude,total_moth_count,complete ,clean_complete,reason_incomplete
Oka,Pine,agricultural,K,0.1,0.7,11.2,OkaPine3.1,-74.03687207,90,90,NA,Muck
Oka,Pine,agricultural,K,0.1,0.7,11.2,OkaPine3.2,-74.03739145,48,48,48,NA
Oka,Pine,agricultural,K,0.1,0.7,11.2,OkaPine3.3,-74.03810442,51,51,NA,Muck
Oka,Pine,agricultural,K,0.1,0.7,11.2,OkaPine3.4,-74.0397378,35,35,NA,Muck
Oka,Pine,agricultural,K,0.1,0.7,11.2,OkaPine3.5,-74.03975498,27,27,NA,Muck
Oka,Pine/Oak,agricultural,I,0.3,0.4,18,OkaOP3.1,-74.04304253,60,60,60,NA
Oka,Pine/Oak,agricultural,I,0.3,0.4,18,OkaOP3.2,-74.04188398,47,47,47,NA
Oka,Pine/Oak,agricultural,I,0.3,0.4,18,OkaOP3.3,-74.04202773,69,69,69,NA
Oka,Pine/Oak,agricultural,I,0.3,0.4,18,OkaOP3.4,-74.04393436,71,71,71,NA
Oka,Pine/Oak,agricultural,I,0.3,0.4,18,OkaOP3.5,-74.04411323,44,44,NA,Muck
Oka,Pine/Oak,agricultural,I,0.3,0.4,18,OkaOP3.6,-74.0454276,118,118,118,NA
Orford,MOM,forest ,MOM,0,0,4.6,MO2MOM,,69,69,69,NA
Orford,MOM,forest ,MOM,0,0.2,5.9,MOMOM,-72.22345951,254,254,254,NA
Orford,Oak,forest ,A,0.8,0,7.8,MOOak2.1,-72.24305774,145,145,145,NA
Orford,Oak,forest ,A,0.8,0,7.8,MOOak2.2,-72.24187992,91,91,91,NA
Orford,Oak,forest ,A,0.8,0,7.8,MOOak2.3,-72.24622057,108,108,108,NA
Orford,Oak,forest ,E,0.5,0,7.1,MOOak1.1,-72.22629302,378,378,378,NA
Orford,Oak,forest ,E,0.5,0,7.1,MOOak1.2,-72.22766215,139,139,139,NA
Orford,Oak,forest ,E,0.5,0,7.1,MOOak1.3,-72.22803145,263,263,263,NA
Orford,Oak,forest ,E,0.5,0,11.8,MOOak3.1,-72.24271626,142,142,142,NA
Orford,Oak,forest ,E,0.5,0,11.8,MOOak3.2,-72.24457084,93,93,93,NA
Orford,Oak,forest ,E,0.5,0,11.8,MOOak3.3,-72.2456677,37,37,37,NA
Orford,Oak,forest ,F,0.4,0.2,8.1,MO2Oak1.2,-72.19329857,131,131,131,NA
Orford,Oak,forest ,F,0.4,0.2,8.1,MO2Oak1.1,-72.1922785,141,141,141,NA
Orford,Oak,forest ,F,0.4,0.2,8.1,MO2Oak1.3,-72.19403668,52,52,52,NA
Orford,Pine,forest ,J,0,0.5,4.3,MO2Pine3.1,-72.17194945,85,85,85,NA
Orford,Pine,forest ,J,0,0.5,4.3,MO2Pine3.2,-72.17316323,73,73,73,NA
Orford,Pine,forest ,J,0,0.5,5.1,MOPine1.1,-72.23032997,86,86,86,NA
Orford,Pine,forest ,J,0,0.5,5.1,MOPine1.2,-72.23170219,114,114,114,NA
Orford,Pine,forest ,L,0,0.7,3.7,MO2Pine1.1,-72.19705937,21,21,21,NA
Orford,Pine,forest ,L,0,0.7,3.7,MO2Pine1.2,-72.19695669,27,27,27,NA
Orford,Pine,forest ,L,0,0.6,7.5,MO2Pine4.1,-72.176276,106,106,106,NA
Orford,Pine,forest ,L,0,0.6,7.5,MO2Pine4.2,-72.17533967,104,104,104,NA
Orford,Pine,forest ,L,0,0.7,8.3,MOPine2.1,-72.21840229,78,78,78,NA
Orford,Pine,forest ,L,0,0.7,8.3,MOPine2.2,-72.2166814,54,54,54,NA
Orford,Pine,forest ,L,0,0.7,8.3,MOPine2.3,-72.21780675,65,65,65,NA
Orford,Pine,forest ,M,0,0.8,6.8,MO2Pine2.1,-72.19391301,42,42,42,NA
Orford,Pine,forest ,M,0,0.8,6.8,MO2Pine2.2,-72.19206241,53,53,53,NA
Papineauville,Oak,agricultural,A,0.8,0,7.3,PAPOak2.1,-75.02363241,135,135,135,NA
Papineauville,Oak,agricultural,A,0.8,0,7.3,PAPOak2.2,-75.02390231,40,40,NA,Muck
Papineauville,Oak,agricultural,E,0.5,0.1,5.9,PAPOak1.1,-75.02676381,31,31,NA,Muck
Papineauville,Oak,agricultural,E,0.5,0.1,5.9,PAPOak1.2,-75.02600072,136,136,136,NA
Papineauville,Oak/Pine,agricultural,H,0.3,0.3,4.8,PAPOP1.1,-75.02769805,74,74,NA,Muck
Papineauville,Oak/Pine,agricultural,H,0.3,0.3,4.8,PAPOP1.2,-75.02756696,98,98,NA,Muck
Rigaud,MOM,agricultural,MOM,0.2,0,7.3,RigMOM,-74.31043748,158,158,158,NA
Rigaud,Oak,agricultural,D,0.7,0.1,8.4,RigOak1.1,-74.31821094,29,29,NA,Muck
Rigaud,Oak,agricultural,D,0.7,0.1,8.4,RigOak1.2,-74.31922984,35,35,NA,Muck
Rigaud,Oak,agricultural,D,0.7,0.1,8.4,RigOak1.3,-74.32022134,23,23,23,NA
Rigaud,Oak,agricultural,D,0.7,0.1,8.4,RigOak1.4,-74.32146597,34,34,34,NA
Rigaud,Oak,agricultural,D,0.7,0.1,8.4,RigOak1.5,-74.32242335,98,98,98,NA
Rigaud,Oak/Pine,agricultural,F,0.4,0.2,6.5,RigOP2.1,-74.30587135,82,82,82,NA
Rigaud,Oak/Pine,agricultural,F,0.4,0.2,6.5,RigOP2.2,-74.30845013,27,27,27,NA
Rigaud,Oak/Pine,agricultural,F,0.4,0.2,9.4,RigOP3.1,-74.30604737,13,13,13,NA
Rigaud,Oak/Pine,agricultural,F,0.4,0.2,9.4,RigOP3.2,-74.3023704,61,61,61,NA
Rigaud,Oak/Pine,agricultural,F,0.4,0.2,9.4,RigOP3.3,-74.30165576,13,NA,NA,Trap damaged 
Rigaud,Oak/Pine,agricultural,H,0.3,0.2,5.3,RigOP4.1,-74.31535271,11,NA,NA,Trap damaged 
Rigaud,Oak/Pine,agricultural,H,0.3,0.2,5.3,RigOP4.2,-74.31665207,44,44,44,NA
Rigaud,Oak/Pine,agricultural,H,0.3,0.2,7.6,RigOP5.1,-74.31959965,79,79,79,NA
Rigaud,Pine,agricultural,I,0.2,0.5,3.5,RigPine4.1,-74.32183343,61,61,61,NA
Rigaud,Pine,agricultural,J,0.1,0.5,6.4,RigPine5.1,-74.31734121,68,68,68,NA
Rigaud,Pine,agricultural,K,0.1,0.6,8.3,RigPine2.1,-74.30726828,17,17,17,NA
Rigaud,Pine,agricultural,K,0.1,0.6,8.3,RigPine2.2,-74.30848322,3,3,3,NA
Rigaud,Pine,agricultural,K,0.1,0.6,8.3,RigPine2.3,-74.30962913,19,19,NA,Muck
Rigaud,Pine,agricultural,L,0,0.7,3.6,RigPine3.1,-74.30551118,41,41,41,NA
Rigaud,Pine,agricultural,L,0,0.7,3.6,RigPine3.2,-74.30691096,17,17,17,NA
Rigaud,Pine/Oak,agricultural,I,0.2,0.4,9.4,RigOP1.1,-74.30921632,16,16,16,NA
Rigaud,Pine/Oak,agricultural,I,0.2,0.4,9.4,RigOP1.2,-74.31039247,15,15,15,NA
Rigaud,Pine/Oak,agricultural,I,0.2,0.4,9.4,RigOP1.3,-74.31172343,14,14,NA,Muck
