Date,Patch name,Stand Type ,Trap Name,Mass (g),Moth Count,Head Count,Body Count,Wing Count,Total Moth,"""Muck"" Mass (g)",Other Species (in lab),Field Notes,Lab notes,,,,,,,,,,,,,
25/07/2024,Papineauville,Oak,PAPOak1.1,2.9672,31,0,0,0,31,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Papineauville,Oak,PAPOak1.2,2.1857,22,0,0,0,22,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Papineauville,Oak,PAPOak2.1,2.9965,31,0,0,0,31,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Papineauville,Oak,PAPOak2.2,3.4798,39,0,0,0,39,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Papineauville,Oak/Pine,PAPOP1.1,3.5277,37,0,0,0,37,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Papineauville,Oak/Pine,PAPOP1.2,3.4245,36,0,0,0,36,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Montebello,Oak,MontOak1.1,5.2375,57,0,0,0,57,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Montebello,Oak,MontOak1.2,4.2615,35,0,0,0,35,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Montebello,Pine,MontPine2.1,4.3329,44,0,0,0,44,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Montebello,Pine,MontPine2.2,0.9917,12,0,0,0,12,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Montebello,Pine,MontPine2.3,1.9502,22,0,0,0,22,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Montebello,MOM,MontMOM,NA,21,0,0,0,21,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Montebello,Oak,MontOak2.1,0.7036,8,0,0,0,8,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Montebello,Oak,MontOak2.2,2.2237,26,0,0,0,26,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Montebello,Pine,MontPine1.1,1.1568,12,0,0,0,12,NA,4,NA,4 black flies big and small,,,,,,,,,,,,,
25/07/2024,Montebello,Pine,MontPine1.2,2.1763,23,0,0,0,23,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Montebello,Oak/Pine,Mont2OP2.1,1.8106,20,1,0,4,21,NA,0,NA,20 intact moths + 1 head and 4 wings = 21,,,,,,,,,,,,,
25/07/2024,Montebello,Oak/Pine,Mont2OP2.2,2.6337,30,0,0,0,30,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Montebello,Pine,Mont2Pine1.1,1.1575,14,0,0,0,14,NA,0,already a lot of beetles - moths seem to be largely intact,NA,,,,,,,,,,,,,
25/07/2024,Montebello,Pine,Mont2Pine1.2,4.8233,49,0,0,0,49,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Montebello,Pine/Oak,Mont2OP1.1,1.5639,16,0,0,0,16,NA,0,NA,NA,,,,,,,,,,,,,
25/07/2024,Montebello,Pine/Oak,Mont2OP1.2,1.1219,11,0,0,0,11,NA,0,NA,NA,,,,,,,,,,,,,
26/07/2024,Notre Dame de Bonsecours,Oak/Pine,NDBOP1.1,NA,NA,NA,NA,NA,NA,NA,NA,Trap completely demolished removed July 26,NA,,,,,,,,,,,,,
26/07/2024,Notre Dame de Bonsecours,MOM,NDBMOM,NA,57,0,0,0,57,NA,0,already had beetles ,NA,,,,,,,,,,,,,
26/07/2024,Notre Dame de Bonsecours,Pine,NDBPine1.1,6.6011,68,0,0,0,68,NA,0,NA,NA,,,,,,,,,,,,,
26/07/2024,Notre Dame de Bonsecours,Oak/Pine,NDBOP2.1,2.8689,30,0,0,0,30,NA,0,NA,NA,,,,,,,,,,,,,
26/07/2024,Notre Dame de Bonsecours,Oak/Pine,NDBOP2.2,4.5682,46,0,0,0,46,NA,2,NA,2 daddy long legs ,,,,,,,,,,,,,
26/07/2024,Notre Dame de Bonsecours,Oak/Pine,NDBOP2.3,3.7044,42,0,0,0,42,NA,0,NA,NA,,,,,,,,,,,,,
29/07/2024,Rigaud,Pine/Oak,RigOP1.1,0.6396,10,0,0,0,10,NA,1,NA,1 small spider,,,,,,,,,,,,,
29/07/2024,Rigaud,Pine/Oak,RigOP1.2,0.4017,5,0,0,0,5,NA,0,NA,NA,,,,,,,,,,,,,
29/07/2024,Rigaud,Pine/Oak,RigOP1.3,0.5924,8,0,0,0,8,NA,0,NA,NA,,,,,,,,,,,,,
29/07/2024,Rigaud,Oak/Pine,RigOP2.1,4.0153,61,0,0,0,61,NA,0,NA,NA,,,,,,,,,,,,,
29/07/2024,Rigaud,Oak/Pine,RigOP2.2,1.8852,22,0,0,0,22,NA,0,NA,NA,,,,,,,,,,,,,
29/07/2024,Rigaud,Oak/Pine,RigOP3.1,0.5131,7,0,0,0,7,NA,0,NA,NA,,,,,,,,,,,,,
29/07/2024,Rigaud,Oak/Pine,RigOP3.2,3.1413,36,0,0,0,36,NA,0,NA,NA,,,,,,,,,,,,,
29/07/2024,Rigaud,Oak/Pine,RigOP3.3,0.2639,6,0,0,0,6,NA,0,"trap torn on one side, may have lost some moths (taped up)",NA,,,,,,,,,,,,,
29/07/2024,Rigaud,Pine,RigPine2.1,1.0678,12,0,0,0,12,NA,0,NA,NA,,,,,,,,,,,,,
29/07/2024,Rigaud,Pine,RigPine2.2,0.2437,3,0,0,0,3,NA,0,NA,NA,,,,,,,,,,,,,
29/07/2024,Rigaud,Pine,RigPine2.3,1.7554,19,0,0,0,19,NA,0,NA,NA,,,,,,,,,,,,,
29/07/2024,Rigaud,Pine,RigPine3.1,2.0149,25,0,0,0,25,NA,0,NA,NA,,,,,,,,,,,,,
29/07/2024,Rigaud,Pine,RigPine3.2,0.5344,7,0,0,0,7,NA,0,NA,NA,,,,,,,,,,,,,
30/07/2024,Rigaud,Oak/Pine,RigOP4.1,0.3639,11,0,0,4,11,NA,4,"a lot of muck, only able to collect a few moths pieces ",11 somewhat intact moths + 4 wings = 11 because no other bodies/heads. Also a couple of flies and other tiny insect body parts ,,,,,,,,,,,,,
30/07/2024,Rigaud,Oak/Pine,RigOP4.2,2.3154,35,0,0,0,35,NA,20,3 beetles but moths intact ,many tiny little flies ,,,,,,,,,,,,,
30/07/2024,Rigaud,Oak,RigOak1.1,1.9312,25,0,0,0,25,NA,5,NA,tiny little flies,,,,,,,,,,,,,
30/07/2024,Rigaud,Oak,RigOak1.2,2.6175,33,0,0,0,33,NA,0,NA,NA,,,,,,,,,,,,,
30/07/2024,Rigaud,Oak,RigOak1.3,1.4477,17,0,0,0,17,NA,0,NA,NA,,,,,,,,,,,,,
30/07/2024,Rigaud,Oak,RigOak1.4,2.1446,30,0,0,0,30,NA,0,NA,NA,,,,,,,,,,,,,
30/07/2024,Rigaud,Oak,RigOak1.5,6.4402,82,0,0,0,82,NA,0,NA,NA,,,,,,,,,,,,,
30/07/2024,Rigaud,Pine,RigPine4.1,4.1022,51,0,0,0,51,NA,0,1 unidentified moth,NA,,,,,,,,,,,,,
30/07/2024,Rigaud,Pine,RigPine5.1,4.0068,55,0,0,0,55,NA,0,NA,NA,,,,,,,,,,,,,
30/07/2024,Rigaud,Oak/Pine,RigOP5.1,5.0103,67,0,0,0,67,NA,0,NA,NA,,,,,,,,,,,,,
30/07/2024,Rigaud,MOM,RigMOM,NA,76,0,0,0,76,NA,0,NA,NA,,,,,,,,,,,,,
01/08/2024,Mont Saint Hilaire,MOM,MSH2MOM2,NA,6,0,0,0,6,NA,0,little decomposition,NA,,,,,,,,,,,,,
01/08/2024,Mont Saint Hilaire,MOM,MSH2MOM,NA,6,0,0,0,6,NA,0,little decomposition,NA,,,,,,,,,,,,,
01/08/2024,Mont Saint Hilaire,MOM,MSHMOM,NA,19,0,0,0,19,NA,0,some decomposition ,NA,,,,,,,,,,,,,
01/08/2024,Mont Saint Hilaire,Oak,MSH2Oak1.1,0.2354,3,0,0,0,3,NA,0,little decomposition,NA,,,,,,,,,,,,,
01/08/2024,Mont Saint Hilaire,Oak,MSH2Oak1.2,0.9479,13,0,0,0,13,NA,0,little decomposition,NA,,,,,,,,,,,,,
01/08/2024,Mont Saint Hilaire,Oak,MSH2Oak1.3,0.2519,4,0,0,0,4,NA,0,few moths ,NA,,,,,,,,,,,,,
01/08/2024,Mont Saint Hilaire,Oak,MSH2Oak1.4,2.5012,32,0,0,0,32,NA,0,2 tussoch moths ,NA,,,,,,,,,,,,,
01/08/2024,Mont Saint Hilaire,Oak,MSHOak1.1,0.1414,2,0,0,0,2,NA,0,little decomposition,NA,,,,,,,,,,,,,
01/08/2024,Mont Saint Hilaire,Oak,MSHOak1.2,2.9702,31,0,0,0,31,NA,0,little decomposition,NA,,,,,,,,,,,,,
01/08/2024,Mont Saint Hilaire,Oak,MSHOak1.3,3.3886,36,0,0,0,36,NA,0,some decomposition ,NA,,,,,,,,,,,,,
01/08/2024,Mont Saint Hilaire,Oak,MSHOak1.4,NA,NA,NA,NA,NA,NA,NA,NA,"Trap bottom slightly opened, not moths in or around the trap, taped up",NA,,,,,,,,,,,,,
01/08/2024,Mont Saint Hilaire,Pine,MSHPine1.1,6.5669,108,0,0,0,108,NA,0,"lots of moths, little decomposition",NA,,,,,,,,,,,,,
05/08/2024,Mont Royal,Oak/Pine,MROP1.1,3.1754,55,0,0,0,55,NA,0,NA,NA,,,,,,,,,,,,,
05/08/2024,Mont Royal,Oak/Pine,MROP1.2,1.0114,20,0,0,0,20,NA,0,NA,NA,,,,,,,,,,,,,
05/08/2024,Mont Royal,Oak/Pine,MROP1.3,0.7044,13,0,0,0,13,NA,0,NA,NA,,,,,,,,,,,,,
05/08/2024,Mont Royal,Oak/Pine,MROP1.4,0.8113,16,0,0,0,16,NA,0,NA,NA,,,,,,,,,,,,,
05/08/2024,Mont Royal,Oak,MROak2.1,0.797,15,0,0,0,15,NA,0,NA,NA,,,,,,,,,,,,,
05/08/2024,Mont Royal,Oak,MROak1.1,0.5771,7,0,0,0,7,NA,0,NA,NA,,,,,,,,,,,,,
05/08/2024,Mont Royal,Oak,MROak1.2,0.9821,20,0,0,0,20,NA,0,NA,NA,,,,,,,,,,,,,
05/08/2024,Mont Royal,Oak,MROak1.3,0.3457,6,0,0,0,6,NA,0,NA,NA,,,,,,,,,,,,,
05/08/2024,Mont Royal,Pine,MRPine1.1,1.09,24,0,0,0,24,NA,0,NA,NA,,,,,,,,,,,,,
05/08/2024,Mont Royal,MOM,MRMOM,NA,93,0,0,0,93,NA,0,NA,NA,,,,,,,,,,,,,
05/08/2024,Mont Royal,Oak,MROak3.1,4.9294,95,0,0,0,95,NA,0,NA,NA,,,,,,,,,,,,,
05/08/2024,Mont Royal,Oak,MROak3.2,2.6527,49,0,0,0,49,NA,0,NA,NA,,,,,,,,,,,,,
05/08/2024,Mont Royal,Oak,MROak3.3,NA,NA,NA,NA,NA,NA,NA,NA,"Trap missing, seems to have been removed",NA,,,,,,,,,,,,,
15/08/2024,Orford,pine,MO2Pine2.1,1.742,42,0,0,1,42,NA,0,NA,"all intact, wings disregarded",,,,,,,,,,,,,
15/08/2024,Orford,pine,MO2Pine2.2,2.3519,53,0,0,2,53,NA,1,NA,"1 small beetle, wings disregarded",,,,,,,,,,,,,
15/08/2024,Orford,pine,MO2Pine1.1,0.8648,21,0,0,3,4,NA,0,NA,"all intact, wings disregarded ",,,,,,,,,,,,,
15/08/2024,Orford,pine,MO2Pine1.2,1.0668,27,0,0,0,27,NA,0,NA,"all intact, no wings ",,,,,,,,,,,,,
15/08/2024,Orford,oak,MO2Oak1.1,5.947,141,1,2,20,143,NA,0,"Mostly in-tact moths, some beetle, some decomp","mostly intact moths, disregarded wings since moths were intact, bodies were added to total moths ",,,,,,,,,,,,,
15/08/2024,Orford,oak,MO2Oak 1.2,5.592,131,0,7,37,138,NA,3,"4 non-spongy moths moths, mostly intact, some decomp","3 small flies, 131 intact moths, added the moth bodies (bodies with heads) to total number, wings disregarded ",,,,,,,,,,,,,
15/08/2024,Orford,oak,MO2Oak1.3,2.4693,52,22,24,18,98,25,8,intact moths + more advanced stage of decomp ,"many smal flies and 1 beetle, mostly in-tact moths + bodies + heads = total, wings disregarded",,,,,,,,,,,,,
15/08/2024,Orford,pine,MO2Pine3.1,3.894,85,0,0,3,85,NA,2,"1 non spongy moth, some fungus on the moths ","a few small flies, wings disregarded since moths are intact ",,,,,,,,,,,,,
15/08/2024,Orford,pine,MO2Pine3.2,3.1737,73,0,1,4,74,NA,0,NA,"moths intact, disregarded wings ",,,,,,,,,,,,,
15/08/2024,Orford,MOM,MO2MOM,2.6637,69,33,10,30,112,17.25,7,"some intact moths, many beetles, relatively advanced stage of decomp ","lots of decomposition, very difficult to count wings so the number is not accurate, wings were disregarded, total moth = body + heads + moth count ",,,,,,,,,,,,,
15/08/2024,Orford,Pine,MO2Pine4.1,4.2801,105,0,0,0,105,NA,3,NA,"1 fly, 1 spider, 1 earwig ",,,,,,,,,,,,,
15/08/2024,Orford,Pine,MO2Pine4.2,4.3327,103,0,0,0,103,NA,3,NA,"1 non-spongy moth, 2 earwigs, 1 fly ",,,,,,,,,,,,,
16/08/2024,Orford,MOM,MOMOM,10.416,254,8,10,50,272,24,9,"moth in medium level of decomp, powdery but not moldy","decomposition made counting wings hard, total count = body + heads + moths + 1 live moth that flew away, wings disregarded ",,,,,,,,,,,,,
16/08/2024,Orford,Oak,MOOak1.1,19.761,378,0,0,0,193,NA,2,1 beetle ,"1 fly, 1 beetle",,,,,,,,,,,,,
16/08/2024,Orford,Oak,MOOak1.2,6.1547,139,0,0,0,140,NA,2,1 live moth flew away (ADDED TO TOTAL),"1 beetle, 1 stink bug, ",,,,,,,,,,,,,
16/08/2024,Orford,Oak,MOOak1.3,14.318,263,0,0,10,263,NA,2,several beetles but all moths intact ,2 flies ,,,,,,,,,,,,,
16/08/2024,Orford,Oak,MOOak2.1,5.1015,144,5,6,26,155,19.5,6,moths in medium level of decomp,"6 tiny flies, lots of decomp, wings hard to count and disregarded, total count = body + heads + moths ",,,,,,,,,,,,,
16/08/2024,Orford,Oak,MOOak2.2,4.5178,91,0,0,0,91,NA,2,NA,"moths intact, 2 flies",,,,,,,,,,,,,
16/08/2024,Orford,Oak,MOOak2.3,5.0056,108,0,0,1,109,NA,0,1 moth flew away (ADDED TO TOTAL),"moths intact, wing disregarded, total moths = moth count + 1 live moth",,,,,,,,,,,,,
16/08/2024,Orford,Oak,MOOak3.1,7.0338,142,0,4,15,146,NA,2,"some beetles, moths mostly intact, some decomp","total moths = count + bodies, wings disregarded, 2 beetles",,,,,,,,,,,,,
16/08/2024,Orford,Oak,MOOak3.2,4.681,93,0,0,6,94,NA,2,"a few beetles, dropped 1 moth (ADDED TO TOTAL)","2 large flies, total moths = count + dropped moth, wings disregarded ",,,,,,,,,,,,,
16/08/2024,Orford,Oak,MOOak3.3,1.5711,37,0,0,0,37,NA,0,few beetles ,intact moths ,,,,,,,,,,,,,
16/08/2024,Orford,Pine,MOPine1.1,3.1984,86,0,0,0,86,NA,0,NA,"16 tiny flies, moths intact ",,,,,,,,,,,,,
16/08/2024,Orford,Pine,MOPine1.2,4.7583,114,0,0,0,114,NA,4,NA,"1 harvestmen, 3 flies ",,,,,,,,,,,,,
16/08/2024,Orford,Pine,MOPine2.1,2.677,78,0,0,2,78,NA,2,one beetle ,"2 tiny flies, wings disregarded",,,,,,,,,,,,,
16/08/2024,Orford,Pine,MOPine2.2,2.3127,53,0,0,1,53,NA,2,NA,"2 tiny flies, wings disregarded",,,,,,,,,,,,,
16/08/2024,Orford,Pine,MOPine2.3,2.549,65,0,0,0,65,NA,5,NA,5 tiny flies ,,,,,,,,,,,,,
20/08/2024,Oka,Oak,OkaOak1.1,7.1054,161,0,2,6,163,NA,4,2 american dagger moths in trap,"1 spider, 3 flies, total moths = moth count + bodies , wings ignored ",,,,,,,,,,,,,
