,patch_name,stand_type,stand_category,trap_name,total_moth_count,complete ,clean_complete,reason_incomplete
83,Oka,Pine,I,OkaPine2.3,92,92,92,NA
84,Oka,Pine,I,OkaPine2.4,144,144,144,NA
85,Oka,Pine,I,OkaPine2.5,72,72,NA,Muck
86,Oka,Pine,K,OkaPine3.1,90,90,NA,Muck
87,Oka,Pine,K,OkaPine3.2,48,48,48,NA
88,Oka,Pine,K,OkaPine3.3,51,51,NA,Muck
89,Oka,Pine,K,OkaPine3.4,35,35,NA,Muck
90,Oka,Pine,K,OkaPine3.5,27,27,NA,Muck
91,Oka,Pine/Oak,I,OkaOP3.1,60,60,60,NA
92,Oka,Pine/Oak,I,OkaOP3.2,47,47,47,NA
93,Oka,Pine/Oak,I,OkaOP3.3,69,69,69,NA
94,Oka,Pine/Oak,I,OkaOP3.4,71,71,71,NA
95,Oka,Pine/Oak,I,OkaOP3.5,44,44,NA,Muck
96,Oka,Pine/Oak,I,OkaOP3.6,118,118,118,NA
97,Orford,MOM,MOM,MO2MOM,69,69,69,NA
98,Orford,MOM,MOM,MOMOM,254,254,254,NA
99,Orford,Oak,A,MOOak2.1,145,145,145,NA
100,Orford,Oak,A,MOOak2.2,91,91,91,NA
101,Orford,Oak,A,MOOak2.3,108,108,108,NA
102,Orford,Oak,E,MOOak1.1,378,378,378,NA
103,Orford,Oak,E,MOOak1.2,139,139,139,NA
104,Orford,Oak,E,MOOak1.3,263,263,263,NA
105,Orford,Oak,E,MOOak3.1,142,142,142,NA
106,Orford,Oak,E,MOOak3.2,93,93,93,NA
107,Orford,Oak,E,MOOak3.3,37,37,37,NA
108,Orford,Oak,F,MO2Oak 1.2,131,131,131,NA
109,Orford,Oak,F,MO2Oak1.1,141,141,141,NA
110,Orford,Oak,F,MO2Oak1.3,52,52,52,NA
111,Orford,Pine,J,MO2Pine3.1,85,85,85,NA
112,Orford,Pine,J,MO2Pine3.2,73,73,73,NA
113,Orford,Pine,J,MOPine1.1,86,86,86,NA
114,Orford,Pine,J,MOPine1.2,114,114,114,NA
115,Orford,Pine,L,MO2Pine1.1,21,21,21,NA
116,Orford,Pine,L,MO2Pine1.2,27,27,27,NA
117,Orford,Pine,L,MO2Pine4.1,106,106,106,NA
118,Orford,Pine,L,MO2Pine4.2,104,104,104,NA
119,Orford,Pine,L,MOPine2.1,78,78,78,NA
120,Orford,Pine,L,MOPine2.2,54,54,54,NA
121,Orford,Pine,L,MOPine2.3,65,65,65,NA
122,Orford,Pine,M,MO2Pine2.1,42,42,42,NA
123,Orford,Pine,M,MO2Pine2.2,53,53,53,NA
124,Papineauville,Oak,A,PAPOak2.1,135,135,135,NA
125,Papineauville,Oak,A,PAPOak2.2,40,40,NA,Muck
126,Papineauville,Oak,E,PAPOak1.1,31,31,NA,Muck
127,Papineauville,Oak,E,PAPOak1.2,136,136,136,NA
128,Papineauville,Oak/Pine,H,PAPOP1.1,74,74,NA,Muck
129,Papineauville,Oak/Pine,H,PAPOP1.2,98,98,NA,Muck
130,Rigaud,MOM,MOM,RigMOM,158,158,158,NA
131,Rigaud,Oak,D,RigOak1.1,29,29,NA,Muck
132,Rigaud,Oak,D,RigOak1.2,35,35,NA,Muck
133,Rigaud,Oak,D,RigOak1.3,23,23,23,NA
134,Rigaud,Oak,D,RigOak1.4,34,34,34,NA
135,Rigaud,Oak,D,RigOak1.5,98,98,98,NA
136,Rigaud,Oak/Pine,F,RigOP2.1,82,82,82,NA
137,Rigaud,Oak/Pine,F,RigOP2.2,27,27,27,NA
138,Rigaud,Oak/Pine,F,RigOP3.1,13,13,13,NA
139,Rigaud,Oak/Pine,F,RigOP3.2,61,61,61,NA
140,Rigaud,Oak/Pine,F,RigOP3.3,13,NA,NA,Trap damaged 
141,Rigaud,Oak/Pine,H,RigOP4.1,11,NA,NA,Trap damaged 
142,Rigaud,Oak/Pine,H,RigOP4.2,44,44,44,NA
143,Rigaud,Oak/Pine,H,RigOP5.1,79,79,79,NA
144,Rigaud,Pine,I,RigPine4.1,61,61,61,NA
145,Rigaud,Pine,J,RigPine5.1,68,68,68,NA
146,Rigaud,Pine,K,RigPine2.1,17,17,17,NA
147,Rigaud,Pine,K,RigPine2.2,3,3,3,NA
148,Rigaud,Pine,K,RigPine2.3,19,19,NA,Muck
149,Rigaud,Pine,L,RigPine3.1,41,41,41,NA
150,Rigaud,Pine,L,RigPine3.2,17,17,17,NA
151,Rigaud,Pine/Oak,I,RigOP1.1,16,16,16,NA
152,Rigaud,Pine/Oak,I,RigOP1.2,15,15,15,NA
153,Rigaud,Pine/Oak,I,RigOP1.3,14,14,NA,Muck
